"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
b9130c05,welcome,7,31.032
b89c60d2,welcome,9,31.891
38bf03ee,query,79,489.585
37661fc5,welcome,68,39.518
38323ae2,welcome,55,29.787
b91c80f6,index,4,59.638
38b663b2,welcome,162,15.298
b950ab3c,welcome,101,26.092
b924f71e,welcome,64,37.202
b860b8ce,query,74,357.717
36a79d2b,query,93,390.870
b8cf2084,welcome,108,25.609
38de164d,index,28,26.813
390d895e,explore,37,109.169
38a9bf72,,15,
390f707f,query,28,349.200
b77eea9a,index,6,73.767
3816e46d,query,48,472.003
38d9d675,explore,298,166.416
b827702c,query,172,244.452
b91c80f6,query,28,270.417
38a46750,index,10,34.070
b917fd2e,welcome,7,34.194
3819acb6,explore,22,81.336
b8325408,welcome,41,29.401
39015c1a,explore,393,124.667
b804cad1,query,42,377.257
b7c35ec2,query,276,475.225
b74f3339,explore,191,117.476
37d5727a,,10,
390cc8b3,explore,36,96.060
b804cad1,welcome,21,28.055
b7f37d19,welcome,46,17.368
389c6cf3,welcome,16,21.625
b821fed6,explore,147,57.311
38ef5d14,query,93,336.055
b842ae26,,10,
35543f9a,explore,315,175.327
38c57123,query,122,347.271
370e3459,explore,48,100.459
b9219347,query,17,397.575
380e324e,query,39,304.862
b7f37d19,index,19,20.442
b917fd2e,query,265,426.585
b8515a47,query,32,353.580
38717e29,explore,48,133.897
b80e1131,explore,46,227.078
b96982b1,query,17,343.054
b9051627,welcome,10,21.883
391d1347,explore,22,82.780
b81d5589,welcome,7,28.949
b8383b21,explore,142,128.382
b852ed16,index,20,50.021
38c65460,query,61,545.720
391947fc,,45,
3816e46d,index,17,47.013
b6ee888d,explore,213,87.097
b8f0962d,query,245,414.831
b8b09a40,explore,29,72.544
389c6cf3,,78,
b9130c05,index,19,41.779
b80e1131,welcome,7,37.859
380e8fdd,explore,172,76.875
370e3459,welcome,7,33.715
b86654da,query,17,345.685
38d99f08,explore,159,88.064
390e5d1b,,64,
374f8900,query,17,323.222
3970903c,explore,22,51.462
392b1835,query,110,360.475
3823b826,welcome,17,35.026
b8a8eddc,explore,43,79.235
b6abe36a,index,7,39.912
381e162e,explore,22,86.771
b790c673,welcome,67,23.451
b9007e9e,,38,
3633323a,query,95,482.503
b7f9396d,explore,38,113.034
38980291,welcome,26,32.749
396389c4,welcome,55,30.921
b852ed16,explore,139,57.524
b6f5804d,query,41,430.493
b8901c65,explore,28,106.129
b92bdce9,welcome,33,29.093
b8a3b16b,welcome,11,25.614
38afc586,explore,486,102.045
b8b47609,query,74,426.339
b931a4ef,welcome,20,26.377
374be1fd,explore,34,92.369
b8325408,index,9,47.849
b8031bf9,query,44,246.767
3970903c,query,235,439.453
b8f94067,explore,35,168.165
390f707f,,154,
39211f19,query,17,453.967
b790c673,welcome,35,25.096
b8c5530a,welcome,7,30.192
b91c80f6,,146,
392caf1a,explore,22,82.149
3979c71a,query,28,464.706
37be0f14,query,132,395.476
b8c22876,explore,73,128.162
b76e9187,query,17,454.971
b8a3b16b,query,510,514.893
3786edc6,index,23,77.571
390f707f,query,68,381.471
38a3c7d8,query,76,332.977
37661fc5,query,28,397.419
3970903c,query,76,304.417
390b6e97,query,588,336.297
38a9bf72,query,83,403.106
b851a1d5,query,50,305.303
3942c139,explore,22,169.657
b8a8eddc,welcome,7,31.616
38d0d557,explore,144,115.194
b8c5530a,query,99,420.308
38a3ae79,query,147,417.363
377e4907,welcome,7,20.503
390653d5,query,77,360.406
3819acb6,query,122,322.506
b909c26c,query,133,304.937
390653d5,index,23,39.409
37edb6b8,index,9,57.033
383eeaf4,explore,179,105.403
390135b5,query,17,402.906
392c2881,query,47,412.593
38c3b179,explore,68,130.417
38a275ed,welcome,52,36.633
b81d5589,query,106,415.112
b8a3b16b,explore,170,110.426
39035516,query,665,496.037
380cf7b4,query,22,442.177
b6abe36a,query,41,371.897
b9158040,explore,206,168.830
380b029e,query,88,448.792
38cf3752,query,92,439.138
38c46204,index,61,43.411
38cf3752,explore,30,142.306
b81b3b82,query,17,442.236
377e4907,,71,
3797e298,welcome,7,25.308
3909fcb4,query,66,414.115
385880f7,index,5,72.274
3979c71a,query,80,340.721
b8ce4d69,,13,
38b8c16a,query,386,326.570
375a0fb8,welcome,7,20.202
b813a978,query,155,304.713
b7a2c6eb,welcome,7,28.664
b8efd34b,query,17,469.332
b8f63b0b,explore,22,97.108
b8d5a408,,71,
38e5123b,welcome,26,23.146
b8383b21,welcome,45,19.394
b87d0584,welcome,7,21.434
3843297f,explore,22,133.676
38d0d557,query,172,411.291
391947fc,explore,127,97.750
b92465d5,explore,164,97.089
b91c0134,index,4,50.164
b92d9cfe,query,39,502.926
b916eb9a,explore,290,143.338
36c2a17d,explore,39,202.361
b92d462a,index,4,52.116
b8f92757,index,4,53.049
b84ff761,index,96,31.513
39015c1a,explore,27,121.985
39185173,welcome,34,34.496
b7979420,explore,198,52.129
38631bbe,index,33,65.522
38d2d781,explore,95,103.605
3885e011,welcome,7,34.084
37823f06,explore,22,136.452
38acef48,,10,
37c41fa9,welcome,202,25.226
b860b8ce,explore,108,115.077
b92465d5,index,26,42.374
38c3a6cd,query,130,424.913
38800455,index,24,13.823
b8b677f0,query,45,488.053
392caf1a,welcome,56,37.403
b93c4db5,welcome,39,37.952
392c2881,explore,22,118.960
b87903ac,,28,
b8a03570,explore,269,32.500
378adfcf,query,17,342.494
b8ecd29f,welcome,12,29.651
b8e586de,explore,32,120.341
37c1aa18,explore,53,89.000
38b42380,explore,246,83.295
b83d2de5,welcome,83,32.651
b8f0962d,query,17,386.817
394b75ed,explore,35,177.320
38ef5d14,query,75,356.407
b802f2cb,welcome,7,24.387
37b7138d,query,37,397.336
b91c0134,query,17,396.888
377e4907,query,17,415.021
3583d69f,query,17,376.918
b802d077,explore,22,151.608
b962874b,explore,199,99.332
38bf03ee,explore,158,67.371
b9129922,query,279,367.500
b911df8e,,23,
b857b5e3,welcome,113,30.005
b783aac0,welcome,19,22.264
b924f71e,explore,175,161.958
38d99f08,query,82,452.958
b825d13a,index,38,76.565
3904fd41,welcome,26,34.523
38857e4b,explore,64,76.038
392c2881,,25,
390cc8b3,welcome,25,29.145
b4a9b492,welcome,7,12.402
b83257d7,query,341,343.162
b89448ed,query,17,474.612
b80b7d64,explore,208,86.203
b8e6533d,query,25,392.171
b76e9187,explore,103,89.512
b91c0134,query,67,471.789
b983466d,welcome,82,37.369
385b91a0,,18,
b88bb94b,welcome,44,41.246
3820a503,query,217,449.764
b783aac0,query,282,456.041
3942b00b,explore,47,132.163
3889f262,explore,136,103.139
b8dfa8ea,index,4,23.755
