"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
371ac991,query,18,411.464
3762ca0a,explore,23,127.962
38ba0efe,welcome,41,37.128
37428674,explore,56,165.174
b84b8870,index,36,33.434
b801dc46,explore,22,136.910
b7fef8a7,query,103,391.885
380c2bb7,index,11,51.581
b8887cef,query,17,407.235
389e59a0,explore,28,173.633
b91f358f,query,182,415.919
b8597376,query,282,402.216
380270e6,explore,25,146.588
388ab882,,74,
38bfbe11,query,53,378.261
3826f7c3,explore,44,130.165
387256e1,explore,198,130.839
b914038d,welcome,125,29.167
3585643c,explore,88,106.641
b818edf3,query,180,429.271
b81fda2a,query,117,340.566
386a0b12,welcome,74,38.558
b8c198f9,query,96,372.939
38f4af8f,welcome,37,23.140
b8db26f9,,10,
b934c07d,query,197,376.898
b929e1a8,explore,426,116.477
3785c0d6,explore,61,96.752
37b1e3d8,query,17,391.240
b8f74b43,welcome,33,32.734
37ec6647,index,17,68.189
380e76e5,,86,
b8983416,index,68,67.364
b76c6ced,explore,210,110.079
38afb70e,welcome,26,36.547
384e7fb8,welcome,7,34.013
b7fef8a7,query,17,338.754
b8ce585e,query,310,340.344
b912f681,index,4,50.857
b768570d,query,32,415.341
b8571640,query,25,444.966
396f9163,query,78,432.573
382d28b2,,170,
389e3e52,welcome,26,23.002
b7e5c163,explore,22,74.392
381cdeea,welcome,25,25.908
37ec6647,query,340,394.177
b83878e0,welcome,44,43.502
b943987a,explore,274,109.103
382682ec,query,50,176.040
b8195359,query,39,352.420
37c1cf55,explore,22,47.513
b84b8870,welcome,34,33.796
b85b9a21,welcome,71,33.069
b8a5e039,,22,
38e4b8d0,explore,224,76.940
b86d790b,query,179,458.184
38fa3c71,welcome,38,22.043
38aebd9d,explore,288,195.058
38941c18,query,97,332.998
38487cd6,query,77,404.453
b3d96130,query,43,405.139
b876c3d5,index,16,65.400
b8a5e039,query,88,444.012
b7309af4,welcome,48,27.541
3826f7c3,,11,
3960a2b0,query,175,390.005
b8ae0f0a,,47,
3898cf4b,explore,63,124.027
b91af4ab,welcome,103,34.299
b7a78440,query,51,397.584
3869f186,welcome,25,43.501
b85aa33b,welcome,7,24.397
b91733dd,explore,357,116.447
378e51c0,welcome,15,25.989
b6a675b9,explore,170,162.200
385f5a4a,query,39,325.805
38b8dbce,explore,201,72.684
b93c986d,explore,68,48.449
3900c784,,79,
b8bd209b,index,4,51.420
b8f2f05a,,10,
b88b101c,query,150,388.261
b8b742d2,query,136,242.390
b7ff443b,query,17,345.892
b912f681,explore,51,123.852
b70fdeaa,query,37,321.012
381f446e,welcome,7,25.517
372ce1a8,query,242,376.348
378727cf,index,33,28.636
382da54f,query,38,393.824
38fa3c71,query,17,352.959
