"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
38abb269,query,136,414.026
b7c1635e,query,95,339.461
b8aa3054,explore,512,90.170
38bfffaf,welcome,7,32.180
3936d138,index,33,19.386
37d3e76b,explore,74,65.358
b887ef72,query,17,424.162
3945c449,welcome,18,24.534
38301008,index,26,37.875
b887ef72,query,278,360.274
b7dbb5cc,explore,57,99.574
b8896b9d,,29,
3936d138,query,160,411.168
36d407a9,query,19,360.283
b88c041a,index,36,58.193
38fd03b4,index,9,61.273
3825d553,query,56,310.531
b8767cf4,explore,344,75.192
3941e8a2,welcome,31,31.967
b9108f1f,explore,111,136.031
b91383bd,query,257,447.266
38a7fa42,query,96,360.534
37a1308e,query,17,425.831
3928a6c8,index,4,69.791
b7c1635e,explore,132,43.867
391f90b6,,61,
b91b0aa5,query,17,423.820
b8bac31c,explore,323,128.488
b85002fb,query,74,366.944
38dc90f7,query,35,383.661
37efae52,query,123,458.238
b849685b,explore,27,158.234
38a6be1c,explore,365,137.597
b79814ce,welcome,42,23.999
379b789b,welcome,26,39.467
b6deebd2,,34,
b9120a49,explore,151,138.500
b7cfc0e3,query,17,407.476
38dc4e91,query,17,380.048
b85002fb,index,50,32.731
b8935c96,index,6,75.603
b8a8fcd0,welcome,135,31.440
b919aba9,query,40,434.094
38a3d32c,explore,22,62.316
39584cc9,,14,
b8767cf4,index,4,65.655
b7ab0001,index,6,64.717
3806a641,,13,
b7c1635e,query,17,421.904
b958bc49,explore,22,117.115
b72004d6,welcome,15,29.566
b8992afd,explore,45,151.509
39093767,query,76,385.650
b7f018b2,query,63,379.754
376b816a,query,82,418.389
38ba2b03,explore,130,101.510
38bf736b,explore,63,79.922
b8cc43f2,explore,87,160.117
38c30708,query,51,359.450
b8c6f1f5,query,121,278.535
b882a572,explore,37,88.648
3921f605,query,412,384.092
b9000e9b,index,8,50.442
b5cc32f9,welcome,21,26.526
38dbb0ac,welcome,74,39.412
b8379699,welcome,19,20.913
b74ab656,explore,22,146.412
b94aa5fe,query,64,326.295
384dbf57,query,47,381.890
b90288f8,query,131,352.000
39217004,query,17,334.923
379500b9,query,17,406.850
3825d553,query,39,326.735
380a8ee6,welcome,102,17.197
352e89f4,explore,297,94.941
b72f7391,query,38,473.001
b6b9bbf2,index,24,48.309
386dda80,index,17,37.045
3713b2ac,explore,22,144.361
38a2baf1,query,86,414.200
3887eb6a,explore,155,70.777
b88b86c9,welcome,7,16.175
382e0879,welcome,11,35.127
b807f47b,index,58,42.667
b8e1204d,query,132,374.720
b90ab8f5,query,17,347.821
b95f8e0c,query,114,477.376
b919aba9,,55,
b81f8856,query,163,374.198
b70956d0,welcome,96,27.640
38c439eb,query,243,254.789
b81f8856,query,20,506.478
b8ddc9d6,explore,78,131.564
b8cacea4,query,118,308.704
39584cc9,,65,
b8c922ef,welcome,63,27.327
38a3cc99,query,24,387.660
380a3b16,query,17,520.565
3850a4af,welcome,32,26.578
38c2f9f3,query,17,369.539
b90cd7e2,query,17,390.229
386f3062,explore,150,126.576
b7299437,query,60,332.305
38c2f9f3,explore,28,73.718
b90cd7e2,query,146,372.903
b76ac97a,explore,68,175.295
b82a2c73,query,284,377.374
b87b055b,query,110,527.856
390a70ad,explore,116,166.825
b887ef72,,44,
b9064e03,query,54,316.614
b911e5ea,welcome,8,44.645
b7299437,welcome,39,37.628
3929139f,explore,55,180.597
b8a9a15d,explore,330,126.694
38a3cc99,query,160,314.505
b9390706,query,20,432.249
382dac59,query,17,251.838
b813b642,explore,180,110.453
b546cbbc,query,17,237.251
b8e1204d,explore,62,155.748
b882a572,explore,22,147.657
38b437bc,query,73,323.393
b72f7391,query,19,404.561
b987cfa2,query,32,419.513
b8ef0640,welcome,7,34.959
38dbb0ac,welcome,8,27.983
3959f160,query,123,328.776
38a7fa42,welcome,65,24.046
3713b2ac,query,35,418.783
3827afc0,query,77,380.085
3960ca92,explore,77,152.378
b8379699,query,51,364.849
38a3d32c,explore,176,139.482
b8ef0640,query,36,415.154
b882a572,,32,
b9195050,explore,22,63.508
38ea5b05,welcome,16,40.710
b8eb2381,welcome,88,20.273
3928a6c8,welcome,7,28.123
37d81570,query,71,374.998
393524d4,,12,
b881f398,welcome,29,33.347
b9262f51,query,145,359.983
b8ca1285,query,68,434.330
b78700fd,query,17,400.112
b89fc1e1,query,17,336.087
b7671954,query,89,402.874
b81af435,query,68,457.429
b849685b,index,4,59.290
b8c6f1f5,explore,100,31.986
38e31cd0,welcome,28,34.209
b8ca1285,query,136,342.345
38c30708,welcome,7,35.545
38f0bd8f,explore,130,126.244
39118432,query,72,278.572
3896f78b,query,53,381.519
b8814dab,query,43,329.836
38641006,welcome,7,26.910
34242078,query,42,374.746
b8475e01,,10,
38d3457c,welcome,17,36.828
b7fbf867,explore,228,124.588
b8054a1c,welcome,17,18.141
3871b0f2,query,114,472.034
3921f605,explore,41,146.879
b77896cf,query,166,489.106
b92cf8ba,query,73,384.226
b8a8fcd0,explore,24,116.865
b8a2c430,query,17,418.669
b807f47b,welcome,10,41.675
b7d25d1e,explore,88,143.153
3936d138,welcome,43,24.801
b8aa3054,query,17,393.793
b8b1151a,explore,127,115.796
b9390706,welcome,40,26.614
b8d04bf9,explore,155,62.472
385b5150,welcome,17,30.775
390a70ad,welcome,71,31.500
39110bc6,query,100,365.107
b58345a7,welcome,39,23.940
38170658,query,102,390.417
38f3a841,explore,44,140.517
3808e492,,71,
b88043b2,,70,
3825d553,query,29,435.340
36b6207b,query,108,395.912
b8ae7201,welcome,76,39.258
379b789b,query,17,415.366
b92cf8ba,explore,22,85.553
b88144f3,query,17,392.134
b85002fb,welcome,18,23.273
b6fc5e8f,explore,92,127.423
b8475e01,explore,68,95.918
b7671954,,19,
