"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
b852efc1,welcome,58,27.106
b977db22,explore,51,93.790
393fe225,index,23,58.644
b852efc1,query,126,303.764
b940f34e,explore,31,98.184
38aef102,welcome,119,27.137
3850d040,query,155,401.453
384600d3,welcome,7,16.935
391e8de4,index,11,43.695
b3af4d98,welcome,23,22.645
38bc55d4,query,131,417.558
b748f907,query,113,347.843
38bf1b60,welcome,97,31.419
38e5d79d,query,30,337.451
388aee90,query,111,369.892
b6a6ca7d,explore,22,110.437
38ea423b,explore,26,141.522
b8d8a339,explore,112,123.733
3897dded,explore,96,91.369
3726ab3e,welcome,8,39.460
b8a70842,explore,178,120.025
b72e705f,query,17,290.073
37f82740,explore,202,7.889
b9437227,explore,198,89.516
b92bf6e0,query,26,411.161
b8b09699,,26,
381a33cd,welcome,7,36.011
3903fdbb,welcome,14,33.699
b908ea78,explore,33,100.467
371d3813,index,7,58.323
378076cc,,37,
3984f7cd,query,42,394.356
3919b62c,query,17,462.420
b7683e47,query,28,381.867
3740c691,query,164,426.103
359e5394,welcome,12,13.801
38996f32,query,153,426.878
38c0b829,,55,
b8ead05f,query,230,308.021
3910d42a,query,51,369.496
371486e8,query,184,312.655
b8be2b74,index,6,37.705
3816bfca,query,122,334.589
b88b5558,query,17,387.137
389d4cd7,welcome,22,15.637
b909f606,query,17,367.299
b8a72e37,index,47,56.306
b8082632,welcome,75,29.812
b882159d,query,28,341.455
b89ca3b9,query,48,448.600
37de35fa,query,17,350.472
b8ab5bb4,query,37,279.355
b745a09f,query,111,447.526
b8aa8b4b,query,17,280.944
3848cdca,explore,22,99.443
359e5394,query,152,512.198
38af6884,query,53,316.718
b78ff068,explore,78,124.030
b7c778b1,welcome,59,39.141
37b62225,welcome,41,42.384
b8d8673d,welcome,79,30.569
378076cc,query,17,393.217
38a373ab,query,44,384.298
b7fd6e61,welcome,62,36.174
b3af4d98,query,17,284.364
371d3813,query,108,372.973
b91b7c4d,explore,22,127.510
380f0d2e,welcome,10,18.061
b91c3392,query,234,506.845
3874b38d,index,35,42.477
b7f0ff55,,34,
383453c7,welcome,7,24.455
b89ca3b9,explore,116,126.427
368734d7,query,85,381.979
b93cc537,query,129,333.663
3954623d,,135,
b80f0c96,query,58,385.589
380f0d2e,,148,
3936265d,query,17,413.698
3936265d,welcome,68,19.824
38da2018,explore,22,122.420
b81b4d68,query,103,325.313
38bc55d4,explore,335,101.600
b7bf5ae9,query,184,388.501
b9121ceb,welcome,43,31.100
b6fcb664,welcome,133,30.691
3869a010,index,17,69.593
38ae6b08,explore,135,125.748
37edb214,welcome,11,28.963
36b92534,explore,297,116.140
b8a6f1e0,explore,76,132.636
38031905,,10,
3919f44c,query,73,339.491
38099db4,,23,
38decbdd,welcome,71,31.925
3841b6f7,welcome,33,31.394
b7e9b663,query,17,439.657
38c7f009,query,284,336.158
3799f775,query,263,372.430
b8082632,query,62,354.875
3887fb46,,36,
b9364da2,index,18,39.943
b8adb447,query,17,393.174
389d4cd7,explore,22,164.380
36de2ba7,query,27,336.246
39292953,query,78,440.156
b72fa2ad,query,94,398.629
b9364da2,query,18,374.424
39031f59,,10,
35ef71aa,explore,237,157.261
390907fb,explore,161,98.482
37445d9a,query,17,359.159
b93cc537,query,165,300.466
b876969c,explore,28,96.826
b852efc1,,10,
b7690006,welcome,21,33.802
3924c548,query,33,343.368
b92ce7cc,index,8,44.681
392578c2,query,17,369.227
37b62225,query,30,410.912
b8bd3816,explore,148,41.036
b78ff068,welcome,109,27.385
365440f2,,20,
b88f6355,query,209,393.626
b83f476b,explore,197,105.869
b8adb447,query,55,411.837
365440f2,query,17,345.674
36f55c1a,explore,197,85.696
386498cb,query,58,415.616
3904ac55,welcome,20,13.978
37c2873b,query,17,326.055
b82793e2,index,12,28.191
386e4c96,query,17,503.006
38ae6b08,query,25,286.561
36c8dca3,index,37,44.228
38eb2205,welcome,38,50.536
39031f59,query,38,453.014
389c70df,welcome,20,22.511
b8b32f0c,explore,180,134.657
b8922a5d,query,54,410.298
b91869bd,index,11,55.146
38a24c06,query,34,425.053
37497695,,27,
38c0b829,query,195,484.500
b8772f85,query,112,510.521
b8e5fac0,query,139,507.081
b8433852,explore,137,56.985
394bfa4c,query,17,348.768
37ff3f61,explore,78,213.305
38264fef,index,4,30.482
b83d69d3,explore,22,105.072
379b6974,query,17,431.796
b3af4d98,welcome,76,32.497
b88ae8bf,,10,
b8cdf7e2,explore,22,129.359
389c70df,explore,109,127.976
3726ab3e,query,48,506.688
b885b146,explore,41,104.414
b85acdd7,welcome,7,27.625
38f40e26,query,38,314.800
b9364da2,welcome,9,27.888
392578c2,,81,
394fc4cc,query,17,341.132
389c70df,explore,321,79.164
b8e1539d,explore,40,138.334
b8433852,explore,53,104.556
38c46a0c,welcome,45,25.733
b8b09699,explore,161,102.367
3879d61c,explore,40,103.703
39050479,explore,68,16.334
b8a72e37,query,115,328.832
38495474,explore,89,179.007
392dc8b9,explore,22,122.962
37c2873b,query,49,490.739
b9364da2,welcome,28,26.616
378076cc,explore,120,102.024
b940f34e,explore,31,115.565
382be008,,28,
b89943b9,,10,
b8b2c27e,explore,166,40.475
392dc8b9,explore,284,121.077
b8ac1d26,query,83,483.903
37445d9a,query,104,355.377
38670b73,query,118,270.112
38ea423b,query,78,404.860
b745a09f,index,9,19.009
b9056c91,query,27,318.730
36c8dca3,explore,22,122.606
b8d8a339,explore,188,106.395
b9323ca4,query,85,406.195
38f40e26,query,244,215.601
b92bf6e0,query,98,304.774
384600d3,,145,
384b86c7,query,68,447.658
392578c2,welcome,7,23.459
b88f6355,index,52,40.893
37de35fa,query,17,351.431
36de2ba7,welcome,60,39.408
b85acdd7,explore,197,67.151
b91c3392,query,31,454.425
b8cadae2,query,208,375.554
b8cdf7e2,welcome,11,24.424
b904372e,query,172,419.011
35ef71aa,explore,24,91.930
3776b24a,explore,22,114.065
3897dded,query,35,387.258
36c8dca3,,62,
b876969c,,16,
391bbaad,query,75,359.953
3897dded,query,115,404.370
38b9bac5,explore,390,63.678
b940f34e,welcome,32,26.219
b8fb60fc,explore,26,73.323
38f54010,index,14,41.859
3740c691,query,93,398.754
b636a8a8,explore,592,158.095
38c8566c,,78,
b67a8a28,query,147,289.579
38495474,query,17,268.574
b876969c,query,117,423.255
365440f2,welcome,104,27.359
b8433852,query,71,498.658
38c929f4,,10,
b89943b9,explore,61,66.416
b83d69d3,explore,89,88.109
38cbc915,query,22,333.226
b850d2ad,explore,44,76.041
b876969c,,10,
b79583f8,,10,
b92ce7cc,explore,22,115.752
b842e96f,welcome,7,32.253
37b62225,explore,217,115.984
389c70df,query,55,242.621
b83f476b,explore,22,115.746
3799f775,query,224,437.097
37312709,explore,22,110.907
b9263fad,,37,
b885e6f6,explore,34,118.959
38c46a0c,query,59,374.525
36e330c4,query,17,436.894
b90ac543,explore,143,137.630
36f55c1a,query,17,406.867
b8494e5a,query,19,398.668
38031905,query,17,384.600
b8d38338,query,118,385.905
b8da4668,explore,34,49.577
b92bf6e0,welcome,7,32.467
b78ff068,query,41,281.178
b8a72e37,explore,117,161.273
b8fb4a9e,welcome,42,32.425
38bf1b60,welcome,21,39.072
3725d6c9,explore,92,30.453
b83d69d3,query,48,364.596
b90f1625,explore,145,124.814
380b2935,query,17,361.303
b8c7b65f,,22,
b852efc1,query,188,389.091
38a24c06,welcome,46,36.283
b8b59b49,explore,141,100.565
38e7f56a,query,102,404.063
391bbaad,explore,25,38.105
3903fdbb,welcome,7,48.286
b850d2ad,query,40,361.064
3838d940,query,79,439.478
b8772f85,explore,137,88.135
3887fb46,welcome,19,23.561
3826e4e6,welcome,27,36.542
b91869bd,,55,
39292953,query,110,363.915
b8bd3816,welcome,15,31.884
b8a01e79,index,75,45.873
385a243e,query,22,357.068
b933e9a4,,85,
3850d040,explore,82,122.789
391e8de4,explore,66,95.562
b89ca3b9,index,48,48.185
b885e6f6,query,35,478.961
b78ff068,query,66,447.553
37c2873b,explore,194,46.592
38a24c06,explore,54,94.810
38eb2205,welcome,69,20.215
b3af4d98,,325,
b885e6f6,query,82,438.148
b82793e2,explore,76,136.093
37c2873b,explore,121,158.999
373df892,query,17,520.880
39031f59,explore,247,116.732
368734d7,query,17,298.908
b7f88841,explore,77,108.775
378076cc,,294,
37815311,query,40,371.501
38eb2205,query,127,353.961
3740c691,query,135,373.734
b82c959a,welcome,10,39.312
383453c7,explore,78,157.394
3847e885,query,67,261.919
38ae6b08,explore,22,109.212
b93cc537,explore,22,91.810
b7b846fd,,10,
b6a6ca7d,query,223,343.902
b8adb447,,10,
38cdcea8,explore,63,87.143
394fc4cc,query,91,332.124
381fd62e,query,17,355.620
b8197ef9,query,17,437.594
37445d9a,explore,98,67.938
3726ab3e,index,31,51.496
35ef71aa,index,71,39.339
38536883,explore,102,126.023
b9437227,query,85,347.049
381a33cd,welcome,31,18.990
39176b84,query,155,518.466
380f0d2e,welcome,33,25.343
b90c6136,query,179,432.725
